,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
50,18.0,0018,Ben Franklin Transit,Active,Full Reporter: Operating,171.0,"Kennewick-Pasco, WA",DR,TX,,,,,,,,,,66146.0,77991.0,88883.0,116318.0,122637.0,122942.0,107920.0,50149.0,,,,,
51,18.0,0018,Ben Franklin Transit,Active,Full Reporter: Operating,171.0,"Kennewick-Pasco, WA",MB,DO,2745850.0,2832367.0,2939267.0,3066207.0,3376832.0,3347886.0,3805453.0,3678714.0,3289127.0,3177236.0,3020031.0,2789196.0,2824121.0,2652058.0,2419818.0,2184099.0,2032773.0,2096572.0,1218177.0,1415305.0,1777678.0,556651.0
52,18.0,0018,Ben Franklin Transit,Active,Full Reporter: Operating,171.0,"Kennewick-Pasco, WA",VP,DO,528293.0,507544.0,657877.0,733445.0,693562.0,859119.0,1140989.0,1232194.0,1261398.0,1295002.0,1190334.0,861586.0,828189.0,794579.0,709319.0,643216.0,646186.0,652803.0,221933.0,153560.0,243969.0,75032.0
53,19.0,0019,Intercity Transit,Active,Full Reporter: Operating,195.0,"Olympia-Lacey, WA",CB,DO,,,,,,,,,,,219194.0,211686.0,212421.0,191157.0,170456.0,162560.0,167823.0,210487.0,54639.0,33157.0,82960.0,24496.0
54,19.0,0019,Intercity Transit,Active,Full Reporter: Operating,195.0,"Olympia-Lacey, WA",DR,DO,113921.0,105159.0,113281.0,117621.0,120503.0,134948.0,133847.0,142209.0,152995.0,149079.0,150374.0,156573.0,160046.0,166062.0,172852.0,175596.0,190907.0,215834.0,143104.0,115286.0,130004.0,33930.0
55,19.0,0019,Intercity Transit,Active,Full Reporter: Operating,195.0,"Olympia-Lacey, WA",MB,DO,2419096.0,2587111.0,2760580.0,2839816.0,3240316.0,3635842.0,4307998.0,4298847.0,4313015.0,4505329.0,4348177.0,4222385.0,4257903.0,4092261.0,3943343.0,3761602.0,3595607.0,3819398.0,1851237.0,2287878.0,2885836.0,780512.0
56,19.0,0019,Intercity Transit,Active,Full Reporter: Operating,195.0,"Olympia-Lacey, WA",VP,DO,241434.0,268890.0,298684.0,383550.0,467614.0,535270.0,689232.0,682010.0,638334.0,684442.0,744482.0,761750.0,746540.0,685112.0,602430.0,550202.0,520843.0,491090.0,284796.0,178904.0,212856.0,63984.0
57,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",DR,DO,321809.0,408621.0,462336.0,443271.0,435620.0,438843.0,427550.0,352667.0,308216.0,301538.0,286851.0,283549.0,298757.0,305544.0,290509.0,283463.0,294105.0,305006.0,134977.0,151029.0,224028.0,50162.0
58,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",DR,TX,,,,,,,,,,1062.0,322.0,118.0,142.0,,112.0,1999.0,1307.0,3347.0,1012.0,1991.0,3199.0,467.0
59,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",FB,DO,,,,,,,,,,,,,,,,118406.0,299471.0,476936.0,236160.0,562589.0,794789.0,229744.0
60,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",FB,PT,288984.0,339120.0,383461.0,450202.0,453693.0,465806.0,523733.0,473926.0,444296.0,454649.0,437846.0,450732.0,458604.0,492857.0,487279.0,499589.0,555258.0,561860.0,279499.0,,,
61,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",MB,DO,3826229.0,4026104.0,4022324.0,4069541.0,3858728.0,3823787.0,4055688.0,3466645.0,2877935.0,2914402.0,2875831.0,2967591.0,2818352.0,2809535.0,2596174.0,2533304.0,2510211.0,2349407.0,1220764.0,946001.0,1103948.0,314316.0
62,20.0,0020,Kitsap Transit,Active,Full Reporter: Operating,180.0,"Bremerton, WA",VP,DO,173515.0,217130.0,232285.0,289400.0,301920.0,300035.0,312804.0,286858.0,259845.0,262418.0,250975.0,226303.0,232423.0,205418.0,175920.0,179833.0,168402.0,153657.0,77466.0,63723.0,75487.0,20301.0
63,21.0,0021,Whatcom Transportation Authority,Active,Full Reporter: Operating,275.0,"Bellingham, WA",DR,DO,153054.0,164985.0,184141.0,214395.0,160086.0,168427.0,181866.0,184030.0,173891.0,174228.0,177700.0,181228.0,190772.0,201821.0,211866.0,220815.0,214479.0,216711.0,113221.0,134308.0,168956.0,46859.0
64,21.0,0021,Whatcom Transportation Authority,Active,Full Reporter: Operating,275.0,"Bellingham, WA",DR,PT,3259.0,2645.0,2630.0,2401.0,2196.0,2476.0,2276.0,2305.0,2275.0,,,,,,,,,,,,,
65,21.0,0021,Whatcom Transportation Authority,Active,Full Reporter: Operating,275.0,"Bellingham, WA",DR,TX,,,,,,,,,,2659.0,3260.0,3565.0,2540.0,2654.0,2700.0,1626.0,1229.0,2285.0,261.0,,,
66,21.0,0021,Whatcom Transportation Authority,Active,Full Reporter: Operating,275.0,"Bellingham, WA",MB,DO,3019966.0,3040738.0,3392350.0,3399851.0,3582482.0,3946135.0,5032936.0,5623156.0,4886749.0,5125549.0,5860120.0,5677712.0,5919614.0,4934429.0,4701668.0,4602021.0,4542536.0,4451508.0,1917385.0,1714220.0,2913033.0,933501.0
67,21.0,0021,Whatcom Transportation Authority,Active,Full Reporter: Operating,275.0,"Bellingham, WA",VP,DO,,59156.0,,,,,,,53954.0,49484.0,61002.0,59615.0,77344.0,61922.0,51944.0,46492.0,47591.0,33361.0,18765.0,15874.0,19991.0,5380.0
68,22.0,0022,City of Pocatello,Inactive,Small Systems Reporter,395.0,"Pocatello, ID",DR,DO,36187.0,52724.0,48552.0,42890.0,41061.0,46789.0,116189.0,104330.0,107853.0,101755.0,,,,,,,,,,,,
69,22.0,0022,City of Pocatello,Inactive,Small Systems Reporter,395.0,"Pocatello, ID",MB,DO,410390.0,447723.0,442302.0,431227.0,423560.0,399506.0,414308.0,429314.0,419880.0,364809.0,,,,,,,,,,,,
70,23.0,0023,City of Seattle,Active,Full Reporter: Operating,14.0,"Seattle, WA",MG,PT,,,,,,,,,,,2106846.0,2092673.0,2162624.0,2292953.0,2243329.0,2129479.0,2021780.0,1939224.0,298349.0,666872.0,1633951.0,364541.0
71,23.0,0023,City of Seattle,Active,Full Reporter: Operating,14.0,"Seattle, WA",MO,PT,2048787.0,2102433.0,764893.0,1504240.0,239726.0,1589065.0,1559778.0,1732301.0,1789137.0,1890867.0,,,,,,,,,,,,
72,24.0,0024,Clark County Public Transportation Benefit Area Authority,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",CB,DO,,,,,,,,,,,,734390.0,731059.0,742323.0,793296.0,750355.0,,,,,,
73,24.0,0024,Clark County Public Transportation Benefit Area Authority,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",DR,DO,180867.0,199524.0,200088.0,196478.0,211818.0,230329.0,245517.0,215346.0,218157.0,206596.0,217468.0,231021.0,235508.0,248788.0,249532.0,245919.0,257655.0,264391.0,112524.0,124066.0,185296.0,57406.0
74,24.0,0024,Clark County Public Transportation Benefit Area Authority,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",MB,DO,6215424.0,6669074.0,6804572.0,5614951.0,5436022.0,5577549.0,6513536.0,6201180.0,6150152.0,6626813.0,6614724.0,5458859.0,5330291.0,5114515.0,4828803.0,4976515.0,5918875.0,5989797.0,3696783.0,3314833.0,3883486.0,1050722.0
75,24.0,0024,Clark County Public Transportation Benefit Area Authority,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",VP,DO,35911.0,36442.0,26318.0,988.0,,,,12433.0,17076.0,28210.0,56758.0,67031.0,68420.0,68880.0,68864.0,54894.0,44222.0,40874.0,23142.0,20666.0,22608.0,6066.0
76,25.0,0025,Salem Area Mass Transit District,Active,Full Reporter: Operating,156.0,"Salem, OR",DR,PT,,,241622.0,271548.0,296558.0,409847.0,429996.0,433048.0,453599.0,429686.0,469249.0,501749.0,553658.0,565666.0,555306.0,571302.0,299160.0,195721.0,64944.0,66571.0,77114.0,21634.0
77,25.0,0025,Salem Area Mass Transit District,Active,Full Reporter: Operating,156.0,"Salem, OR",MB,DO,,,5479089.0,5392202.0,5490201.0,5066719.0,5182174.0,4217005.0,4135793.0,3792323.0,3424964.0,3352311.0,3392973.0,3194285.0,2909651.0,3014159.0,2990859.0,3167851.0,1745365.0,1883348.0,2368003.0,694011.0
78,25.0,0025,Salem Area Mass Transit District,Active,Full Reporter: Operating,156.0,"Salem, OR",MB,PT,,,,,,,,,,,,,,,,,,49328.0,59031.0,59681.0,73321.0,21542.0
79,25.0,0025,Salem Area Mass Transit District,Active,Full Reporter: Operating,156.0,"Salem, OR",VP,PT,,,,19452.0,28087.0,27106.0,37569.0,37670.0,41044.0,47065.0,66061.0,77649.0,82847.0,83326.0,75331.0,69455.0,72709.0,75585.0,33948.0,24903.0,82559.0,21448.0
80,28.0,0028,County of Pierce,Active,Full Reporter: Operating,14.0,"Seattle, WA",FB,PT,,197979.0,,212572.0,212011.0,196094.0,192528.0,201366.0,199261.0,192570.0,183432.0,182838.0,191188.0,187853.0,405581.0,436280.0,443016.0,460515.0,409972.0,450737.0,438385.0,84090.0
81,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",CB,DO,,,,,,,,,,,,1169446.0,1194937.0,1175876.0,1184766.0,1168082.0,1223332.0,1228991.0,361446.0,247087.0,258721.0,78281.0
82,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",CB,PT,,,,,,,,,,,1505167.0,1499566.0,1629565.0,1656233.0,1683375.0,1721767.0,1770703.0,1850710.0,498511.0,314172.0,467341.0,142466.0
83,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",DR,PT,,,,,,212263.0,214568.0,217909.0,217648.0,204291.0,194865.0,188222.0,192633.0,190366.0,194175.0,194471.0,200010.0,190637.0,69387.0,85059.0,104736.0,26238.0
84,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,DO,5371815.0,5269427.0,5772843.0,6236806.0,6678191.0,7203563.0,8252622.0,7922202.0,6996727.0,6943635.0,6473033.0,5311451.0,5871816.0,6103118.0,6321906.0,6413837.0,6584139.0,6999159.0,4445897.0,4000232.0,4673114.0,1309033.0
85,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",MB,PT,2570304.0,2653790.0,2895197.0,1616164.0,1756284.0,1894227.0,1984681.0,1771177.0,1642463.0,1605189.0,,,,,,,,,,,,
86,29.0,0029,Snohomish County Public Transportation Benefit Area Corporation,Active,Full Reporter: Operating,14.0,"Seattle, WA",VP,DO,652093.0,594380.0,573042.0,646846.0,724815.0,738427.0,855502.0,862583.0,843638.0,892936.0,920252.0,927660.0,924912.0,912637.0,867776.0,861372.0,869370.0,823759.0,302038.0,227847.0,281228.0,88193.0
87,33.0,0R03-021,Senior Services of Snohomish County,Inactive,Full Reporter: Operating,14.0,"Seattle, WA",DR,DO,169494.0,114850.0,198128.0,,212191.0,212268.0,,,,,,,,,,,,,,,,
88,34.0,0034,Rogue Valley Transportation District,Active,Full Reporter: Operating/Building,213.0,"Medford, OR",DR,DO,,6519.0,,,107756.0,,,,,,,,,,,,,,,,,
89,34.0,0034,Rogue Valley Transportation District,Active,Full Reporter: Operating/Building,213.0,"Medford, OR",DR,PT,,43630.0,,,,49167.0,54049.0,51453.0,50760.0,51741.0,59049.0,60005.0,55564.0,54767.0,52262.0,51028.0,50155.0,49961.0,34254.0,40962.0,37437.0,10133.0
